Item,SKU,Serial number,Barcode,Brand,Supplier,Quantity sold, Sales (inc. tax) , Sales (Ex. tax) , Order discounts , Discount offers , Total markup value , Purchase cost , Gross profit ,Margin %
VSETT 11+ Left Rocker Arm Rear,VS-11+-LEFT-RKR-ARM-R,,3625C4FC - copy,VSETT,Ningbo Vsett,1,$62.84,$57.13,$0.00,$0.00,$0.00,$20.95,$36.18,63.33
VSETT 11+ Right rocker arm Rear,VS-11+-RIGHT-RKR-ARM-R,,4E4FFDA4,VSETT,Ningbo Vsett,1,$62.84,$57.13,$0.00,$0.00,$0.00,$20.95,$36.18,63.33
SM Pedals / 9/16 Comfort Wellgo C169 / MIDCITY,SM-PDS-WCOMFORT01,,0F6A735D,Smartmotion,"Kunshan Cyclisport Co., Ltd",1,$20.00,$18.18,$1.00,$0.00,$0.00,$16.15,$2.03,11.17
Proviz Reflective 360 / UK12 / Gilet,PROVIZ-362-12-GIL,,502AECB0,,,1,$55.00,$50.00,$45.00,$0.00,$0.00,$100.00,-$50.00,-100
TUBE 10X2 S/STEM,,,,,,1,$20.00,$18.18,$0.00,$0.00,$0.00,$0.00,$18.18,100
MI SCOOTER REPAIR FLAT TYRE,,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
DRAGON STYLE REPAIR BRAKE SYSTEM,,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
SMARTMOTION X-CITY ERROR CODE 4,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
BRAKE CABLE INNER,,,,,,1,$15.00,$13.64,$0.00,$0.00,$0.00,$0.00,$13.64,100
ZERO 8 DECK BOLT,,,,,,1,$5.95,$5.41,$0.00,$0.00,$5.95,$0.00,$5.41,100
"XIAOMI 8"" SOLID TYRE",,,,,,1,$30.00,$27.27,$0.00,$0.00,$0.00,$30.00,-$2.73,-10
